Name,Author,User Rating,Reviews,Price,Year,Genre
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,9374,9,2017,Non Fiction
"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.2,491,14,2010,Biography
Baby Touch and Feel: Animals,DK,4.6,5360,5,2015,Children's literature
Balance (Angie's Extreme Stress Menders),Angie Grace,4.6,1909,11,2015,Art book
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,1296,24,2012,Cookbook
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.7,615,21,2010,Cookbook
Becoming,Michelle Obama,4.8,61133,11,2018,Biography
Becoming,Michelle Obama,4.8,61133,11,2019,Biography
Being Mortal: Medicine and What Matters in the End,Atul Gawande,4.8,11113,15,2015,Self-help
Between the World and Me,Ta-Nehisi Coates,4.7,10070,13,2015,Biography
Between the World and Me,Ta-Nehisi Coates,4.7,10070,13,2016,Biography
Born to Run,Bruce Springsteen,4.7,3729,18,2016,Biography
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.6,9769,13,2009,Romance
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,4.5,471,8,2010,Humor
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2017,Picture Book
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2019,Picture Book
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,4505,0,2011,Comedy
Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,4.6,10369,4,2016,Humor
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,16244,18,2019,Biography
Capital in the Twenty First Century,Thomas Piketty,4.5,2884,28,2014,Sociology
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2010,Science fiction
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2011,Science fiction
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2012,Science fiction
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,4.7,4761,16,2016,Cookbook
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2009,Literature
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2010,Literature
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2011,Literature
Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,4.3,6143,8,2018,Humor
Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,4022,4,2015,Art book
Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,3871,5,2015,Art book
Cutting for Stone,Abraham Verghese,4.6,4866,11,2010,Novel
Cutting for Stone,Abraham Verghese,4.6,4866,11,2011,Novel
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,1329,10,2013,Self-help
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,4642,13,2013,Self-help
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,1541,4,2009,Fantasy
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.3,1924,8,2010,Fantasy
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,2094,4,2011,Fantasy
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2015,Picture Book
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2016,Picture Book
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2017,Picture Book
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2018,Picture Book
Decision Points,George W. Bush,4.6,2137,17,2010,Biography
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,1651,15,2010,Graphic Novel
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,105,2013,Reference Work
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,105,2014,Reference Work
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,6812,0,2013,Humor
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,3837,15,2009,Humor
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.8,6540,22,2014,Humor
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,4.6,7955,5,2019,Logic puzzle
Divergent,Veronica Roth,4.6,27098,15,2013,Science fiction
Divergent,Veronica Roth,4.6,27098,15,2014,Science fiction
Divergent / Insurgent,Veronica Roth,4.5,17684,6,2014,Science fiction
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,4.6,37,6,2009,Self-help
Doctor Sleep: A Novel,Stephen King,4.7,15845,13,2013,Horror
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,3181,12,2009,Horror
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,4.9,5062,6,2018,Comics
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,4.9,4786,8,2017,Comics
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4,2018,Comics
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4,2019,Comics
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,12619,8,2019,Comics
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,4.9,9089,8,2019,Comics
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,4.9,5470,6,2018,Comics
Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,4.8,5118,20,2016,Humor
Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,4.6,2134,5,2015,Children's Book
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,2525,16,2010,Self-help
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,720,1,2009,Reference Work
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,4.3,956,14,2009,Reference Work
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,9,2011,Diet book
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,9,2012,Diet book
Eclipse (Twilight Sagas),Stephenie Meyer,4.7,5505,7,2009,Fantasy
Eclipse (Twilight),Stephenie Meyer,4.7,5505,18,2009,Fantasy
Educated: A Memoir,Tara Westover,4.7,28729,15,2018,Biography
Educated: A Memoir,Tara Westover,4.7,28729,15,2019,Biography
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,4.7,5413,9,2015,Humor
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Science fiction
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2018,Science fiction
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,4370,15,2016,Fantasy
Fear: Trump in the White House,Bob Woodward,4.4,6042,2,2018,Biography
Fifty Shades Darker,E L James,4.4,23631,7,2012,Romance
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,20262,11,2012,Romance
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,14,2012,Romance
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,14,2013,Romance
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,13964,32,2012,Romance
Fire and Fury: Inside the Trump White House,Michael Wolff,4.2,13677,6,2018,Biography
First 100 Words,Roger Priddy,4.7,17323,4,2014,Non Fiction
First 100 Words,Roger Priddy,4.7,17323,4,2015,Non Fiction
First 100 Words,Roger Priddy,4.7,17323,4,2016,Non Fiction
First 100 Words,Roger Priddy,4.7,17323,4,2017,Non Fiction
First 100 Words,Roger Priddy,4.7,17323,4,2018,Non Fiction
Food Rules: An Eater's Manual,Michael Pollan,4.4,1555,9,2010,Cookbook
Frozen (Little Golden Book),RH Disney,4.7,3642,0,2014,Fantasy
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,1215,9,2010,Biography
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2011,Fantasy
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2012,Fantasy
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2013,Fantasy
George Washington's Sacred Fire,Peter A. Lillback,4.5,408,20,2010,Biography
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,4799,16,2013,Biography
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2015,Picture Book
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2016,Picture Book
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2017,Picture Book
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2018,Picture Book
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2019,Picture Book
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,4.6,7660,12,2019,Self Help
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,12,2018,Self Help
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,12,2019,Self Help
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,1365,11,2009,Biography
Go Set a Watchman: A Novel,Harper Lee,3.6,14982,19,2015,Historical
Go the F**k to Sleep,Adam Mansbach,4.8,9568,9,2011,Humor
Going Rogue: An American Life,Sarah Palin,4.6,1636,6,2009,Biography
Gone Girl,Gillian Flynn,4,57271,10,2012,Thriller
Gone Girl,Gillian Flynn,4,57271,10,2013,Thriller
Gone Girl,Gillian Flynn,4,57271,9,2014,Thriller
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,10141,6,2019,Non Fiction
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2009,Non Fiction
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2010,Non Fiction
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2011,Non Fiction
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2012,Non Fiction
Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2017,Picture Book
Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2018,Picture Book
Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2019,Picture Book
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,7,2012,Fiction
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,7,2013,Fiction
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,4.6,5972,10,2014,Diet book
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,4.4,25624,14,2015,Romance
Guts,Raina Telgemeier,4.8,5476,7,2019,Comics
Hamilton: The Revolution,Lin-Manuel Miranda,4.9,5867,54,2016,Drama
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,4148,11,2013,Biography
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,4.9,19622,30,2016,Fantasy
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,4,23973,12,2016,Fantasy
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,4.9,7758,18,2019,Fantasy
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,4.9,3146,30,2017,Fantasy
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,4.9,10052,22,2016,Fantasy
Harry Potter Coloring Book,Scholastic,4.7,3564,9,2015,Art book
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.8,13471,52,2016,Fantasy
Have a Little Faith: A True Story,Mitch Albom,4.8,1930,4,2009,Biography
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,10,2011,Literature
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,10,2012,Literature
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14,2016,Biography
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14,2017,Biography
Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,4.8,3776,22,2018,Poetry
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2014,Self Help
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2015,Self Help
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2016,Self Help
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2017,Self Help
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2018,Self Help
Howard Stern Comes Again,Howard Stern,4.3,5272,16,2019,Biography
Humans of New York,Brandon Stanton,4.8,3490,15,2013,Travel literature
Humans of New York,Brandon Stanton,4.8,3490,15,2014,Travel literature
Humans of New York : Stories,Brandon Stanton,4.9,2812,17,2015,Biography
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.7,4896,17,2013,Humor
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,9737,7,2019,Art book
"I, Alex Cross",James Patterson,4.6,1320,7,2009,Fiction
If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643,4,2017,Bedtime Story
If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643,4,2019,Bedtime Story
If I Stay,Gayle Forman,4.3,7153,9,2014,Young adult
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4.4,4571,21,2011,Biography
Inferno,Dan Brown,4.1,29651,14,2013,Thriller
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,4.6,5299,20,2011,Fantasy
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,4.4,7396,13,2019,Cookbook
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,4.4,7396,13,2018,Cookbook
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,4.8,7062,12,2019,Literature
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2011,Christian Book
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2012,Christian Book
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2013,Christian Book
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2014,Christian Book
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2015,Christian Book
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2016,Christian Book
JOURNEY TO THE ICE P,RH Disney,4.6,978,0,2014,Children's Book
Joyland (Hard Case Crime),Stephen King,4.5,4748,12,2013,Fiction
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.6,8393,17,2017,Politics
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,11391,12,2013,Historical
Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,8634,25,2012,Biography
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,10,2011,Biography
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,10,2012,Biography
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,10927,6,2014,Biography
Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,5235,5,2015,Biography
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,4.8,8916,6,2016,Biography
Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,4.8,2507,8,2018,Cookbook
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2013,Children's Book
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2014,Children's Book
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2015,Children's Book
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,4.9,11881,13,2018,Humor
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2013,Humor
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2014,Humor
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2015,Humor
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2016,Humor
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2017,Humor
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,6132,13,2013,Biography
Leonardo da Vinci,Walter Isaacson,4.5,3014,21,2017,Biography
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,4.4,7550,6,2018,Photography
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,3828,15,2009,Historical
Life,Keith Richards,4.5,2752,18,2010,Photography
Little Bee: A Novel,Chris Cleave,4.1,1467,10,2010,Fiction
Little Blue Truck,Alice Schertle,4.9,1884,0,2014,Fiction
Little Fires Everywhere,Celeste Ng,4.5,25706,12,2018,Fiction
Looking for Alaska,John Green,4.5,8491,7,2014,Fiction
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,1649,13,2011,Christian Book
Love You Forever,Robert Munsch,4.8,18613,5,2014,Children's Book
Love You Forever,Robert Munsch,4.8,18613,5,2015,Children's Book
Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,4.8,9867,16,2018,Cookbook
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.5,1386,20,2014,Cookbook
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,10199,11,2017,Self Help
"Mastering the Art of French Cooking, Vol. 2",Julia Child,4.8,2926,27,2009,Cookbook
Milk and Honey,Rupi Kaur,4.7,17739,8,2016,Fiction
Milk and Honey,Rupi Kaur,4.7,17739,8,2017,Fiction
Milk and Honey,Rupi Kaur,4.7,17739,8,2018,Fiction
Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,4.4,3113,6,2017,Fiction
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2014,Self Help
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2015,Self Help
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2016,Self Help
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2010,Fantasy
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2011,Fantasy
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2012,Fantasy
"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,4.8,5347,16,2019,Children's Book
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,4.8,7866,11,2019,Children's Book
New Moon (The Twilight Saga),Stephenie Meyer,4.6,5680,10,2009,Fantasy
Night (Night),Elie Wiesel,4.7,5178,9,2016,Fiction
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,8093,14,2012,Biography
Obama: An Intimate Portrait,Pete Souza,4.9,3192,22,2017,Photography
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2012,Children's Book
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2013,Children's Book
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2014,Children's Book
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2015,Children's Book
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2016,Children's Book
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2017,Children's Book
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2018,Children's Book
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2019,Children's Book
Old School (Diary of a Wimpy Kid #10),Jeff Kinney,4.8,6169,7,2015,Children's Book
Olive Kitteridge,Elizabeth Strout,4.2,4519,12,2009,Fiction
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163,13,2011,Christian Book
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163,13,2012,Christian Book
"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,4.5,1831,9,2017,Self Help
Origin: A Novel (Robert Langdon),Dan Brown,4.3,18904,13,2017,Fiction
Orphan Train,Christina Baker Kline,4.6,21930,11,2014,Fiction
Outliers: The Story of Success,Malcolm Gladwell,4.6,10426,20,2009,Business
Outliers: The Story of Success,Malcolm Gladwell,4.6,10426,20,2010,Business
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,10820,5,2018,Children's Book
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,10820,5,2019,Children's Book
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,4.8,548,2,2010,Fantasy
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,27,2017,Entertainment
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,27,2018,Entertainment
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,27,2019,Entertainment
Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,Scholastic,4.7,3503,9,2016,Children's Book
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,10,2012,Medical Book
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,10,2013,Medical Book
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2009,Guide Book
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2010,Guide Book
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2011,Guide Book
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2012,Guide Book
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2013,Guide Book
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2014,Guide Book
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2015,Guide Book
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2016,Guide Book
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2017,Guide Book
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2018,Guide Book
